[2019-12-11T16:28:23.537] [INFO] http - [::1 GET / 304 40ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:28:24.264] [INFO] http - [::1 GET /favicon.ico 404 3ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:28:38.920] [INFO] http - [::1 POST /login 200 317ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:28:44.349] [INFO] http - [::1 GET /feature?username=admin 200 73ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:28:47.873] [INFO] http - [::1 GET /user?username=admin 200 141ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:28:55.781] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2019-12-11T16:30:02.396] [INFO] http - [::1 GET /user?username=admin 304 11ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:30:02.462] [INFO] http - [::1 GET /public/manager/assets/pages/img/gramtu.png 404 2ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:30:04.870] [INFO] http - [::1 GET /user?username=admin 304 7ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:30:04.941] [INFO] http - [::1 GET /public/manager/assets/pages/img/gramtu.png 404 2ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:30:08.760] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:30:21.284] [INFO] http - [::1 GET /user?username=admin 304 8ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:31:06.437] [INFO] http - [::1 GET /user?username=admin 200 8ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:32:34.954] [INFO] http - [::1 GET /user?username=admin 200 7ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:32:40.452] [INFO] http - [::1 GET /user?username=admin 200 6ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:35:01.024] [INFO] http - [::1 GET /user?username=admin 304 12ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:35:09.102] [INFO] http - [::1 GET /user?username=admin 200 9ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:35:14.492] [INFO] http - [::1 GET /user?username=admin 200 10ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:35:22.348] [INFO] http - [::1 GET /user?username=admin 200 8ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:35:31.203] [INFO] http - [::1 GET /feature?username=admin 200 6ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:35:48.336] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:35:57.269] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:36:24.611] [INFO] http - [::1 GET /feature?username=admin 200 6ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:36:24.914] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:36:42.393] [INFO] http - [::1 GET /feature?username=admin 200 5ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:36:42.684] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:36:50.654] [INFO] http - [::1 GET /feature?username=admin 200 4ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:36:50.907] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:36:54.660] [INFO] http - [::1 GET /feature?username=admin 304 8ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:36:58.904] [INFO] http - [::1 GET /feature?username=admin 200 6ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:37:05.551] [INFO] http - [::1 GET /feature?username=admin 200 5ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:37:09.469] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:37:39.574] [INFO] http - [::1 GET /feature?username=admin 200 5ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:37:39.830] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:38:07.977] [INFO] http - [::1 GET /feature?username=admin 200 5ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:38:08.252] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:42:58.249] [INFO] http - [::1 GET /feature?username=admin 200 5ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:43:04.923] [INFO] http - [::1 GET /feature?username=admin 200 8ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:43:10.799] [INFO] http - [::1 GET /feature?username=admin 200 4ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-11T16:44:20.220] [INFO] http - [::1 GET /feature?username=admin 304 11ms][http://localhost:8006/user?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
